Common,Scientific,Length,Recordist,Date,Country,Location,Type,ID,Class,Seconds,Name,NameCat,nType
Common Moorhen,Gallinula chloropus,0:02,Aat Schaftenaar,2018-10-28 00:00:00,Netherlands,"Maarn, Utrechtse Heuvelrug, Utrecht",flight call,XC440658,0,2,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:31,Jordi Calvet,2018-10-26 00:00:00,Spain,"Estany d'Ivars-Vilasana, El Pla d'Urgell, Catalunya",call,XC440482,0,31,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:02,Jorge Leitão,2018-08-20 00:00:00,Portugal,"Ludo (Quinta do Lago near Almancil), Loulé, Faro",call,XC437084,0,2,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:01,Jorge Leitão,2018-09-13 00:00:00,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",call,XC436365,0,1,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:12,Jorge Leitão,2018-09-15 00:00:00,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",call,XC436364,0,12,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:03,Jorge Leitão,2018-09-15 00:00:00,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",call,XC436357,0,3,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:06,Jorge Leitão,2018-09-15 00:00:00,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",call,XC436334,0,6,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:03,Jorge Leitão,2018-09-14 00:00:00,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",call,XC436328,0,3,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:06,Jorge Leitão,2018-09-15 00:00:00,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",call,XC436203,0,6,Gallinula chloropus,238,call
Common Moorhen,Gallinula chloropus,0:20,Aat Schaftenaar,2018-09-18 00:00:00,Netherlands,"Maarn, Utrechtse Heuvelrug, Utrecht",flight call,XC434595,0,20,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:16,Aat Schaftenaar,2018-09-10 00:00:00,Netherlands,"Maarn, Utrechtse Heuvelrug, Utrecht",flight call,XC433776,0,16,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:08,Aat Schaftenaar,2018-05-22 00:00:00,Netherlands,"Maarn, Utrechtse Heuvelrug, Utrecht",flight call,XC431451,0,8,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:06,Aat Schaftenaar,2018-02-16 00:00:00,Netherlands,"Maarn, Utrechtse Heuvelrug, Utrecht",flight call,XC431450,0,6,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:10,Aat Schaftenaar,2018-03-14 00:00:00,Netherlands,"Maarn, Utrechtse Heuvelrug, Utrecht",flight call,XC431449,0,10,Gallinula chloropus,238,icall
Common Moorhen,Gallinula chloropus,0:00,Aat Schaftenaar,2018-04-11 00:00:00,Netherlands,"Maarn, Utrechtse Heuvelrug, Utrecht",flight call,XC431448,0,0,Gallinula chloropus,238,icall
