Name,Count
Acrocephalus arundinaceus,136
Acrocephalus palustris,121
Acrocephalus schoenobaenus,128
Acrocephalus scirpaceus,160
Actitis hypoleucos,110
Aegithalos caudatus,198
Alauda arvensis,204
Anas platyrhynchos,126
Anser anser,103
Anthus pratensis,147
Anthus trivialis,159
Ardea cinerea,113
Asio otus,101
Caprimulgus europaeus,145
Carduelis carduelis,213
Carpodacus erythrinus,113
Certhia brachydactyla,185
Certhia familiaris,146
Cettia cetti,257
Chloris chloris,254
Chroicocephalus ridibundus,113
Cisticola juncidis,109
Coccothraustes coccothraustes,154
Coloeus monedula,115
Corvus corax,229
Corvus cornix,113
Corvus corone,122
Crex crex,129
Cuculus canorus,195
Cyanistes caeruleus,434
Dendrocopos major,318
Dendrocoptes medius,110
Dryobates minor,134
Dryocopus martius,240
Elanus caeruleus,152
Emberiza calandra,199
Emberiza citrinella,262
Emberiza hortulana,150
Erithacus rubecula,481
Ficedula hypoleuca,160
Ficedula parva,106
Fringilla coelebs,692
Fulica atra,215
Gallinago gallinago,132
Gallinula chloropus,121
Garrulus glandarius,254
Glaucidium passerinum,113
Grus grus,122
Hippolais icterina,132
Hirundo rustica,128
Linaria cannabina,118
Locustella naevia,110
Lophophanes cristatus,148
Loxia curvirostra,259
Lullula arborea,126
Luscinia megarhynchos,234
Luscinia svecica,125
Motacilla alba,175
Motacilla flava,214
Muscicapa striata,133
Numenius arquata,107
Oriolus oriolus,155
Parus major,1032
Passer domesticus,196
Passer montanus,138
Periparus ater,317
Phoenicurus ochruros,120
Phoenicurus phoenicurus,165
Phylloscopus bonelli,126
Phylloscopus collybita,640
Phylloscopus ibericus,101
Phylloscopus inornatus,103
Phylloscopus sibilatrix,156
Phylloscopus trochilus,262
Pica pica,148
Picus viridis,153
Poecile montanus,176
Poecile palustris,193
Prunella modularis,218
Pyrrhula pyrrhula,249
Rallus aquaticus,202
Regulus ignicapilla,176
Regulus regulus,233
Scolopax rusticola,102
Serinus serinus,156
Sitta europaea,291
Spinus spinus,108
Sternula albifrons,110
Strix aluco,223
Sturnus vulgaris,136
Sylvia atricapilla,483
Sylvia borin,189
Sylvia communis,230
Sylvia curruca,157
Sylvia melanocephala,178
Tringa totanus,123
Troglodytes troglodytes,392
Turdus iliacus,216
Turdus merula,532
Turdus philomelos,236
Turdus pilaris,149
Turdus viscivorus,105
